Max features: 100 N população 100 N geração 1000
Selecting features with genetic algorithm.
gen	nevals	avg            	std                      	min        	max            
0  	100   	[ 0.723 49.77 ]	[ 0.07543872 26.14377746]	[0.53 1.  ]	[  0.85 100.  ]
1  	54    	[-1299.3152   122.67  ]	[3363.2990577   166.55011588]	[-10000.     21.]	[  0.88 600.  ]
2  	61    	[-1899.3297   144.52  ]	[3923.33369038  191.20619655]	[-10000.     26.]	[  0.88 605.  ]
3  	64    	[-1599.2927   127.52  ]	[3666.36924711  183.820754  ]	[-10000.     24.]	[  0.88 591.  ]
4  	48    	[-1799.2921   141.91  ]	[3842.20620874  192.27579645]	[-10000.     25.]	[  0.9 595. ]  
5  	61    	[-2599.3535   190.3   ]	[4386.72565215  219.7291287 ]	[-10000.     26.]	[  0.9 609. ]  
6  	61    	[-1899.2852   154.53  ]	[3923.35524267  196.14298127]	[-10000.     31.]	[  0.9 622. ]  
7  	63    	[-1899.2803   150.52  ]	[3923.35761585  197.63767252]	[-10000.     32.]	[  0.9 586. ]  
8  	77    	[-2699.3553   177.89  ]	[4439.98665927  219.96040075]	[-10000.     32.]	[  0.9 599. ]  
9  	57    	[-2199.3007   143.93  ]	[4142.83442321  204.6581176 ]	[-10000.     32.]	[  0.9 568. ]  
10 	56    	[-2399.316   151.05 ]  	[4271.21567563  212.14185702]	[-10000.     32.]	[  0.9 561. ]  
11 	63    	[-1599.244   111.01 ]  	[3666.39050141  181.37372991]	[-10000.     32.]	[  0.9 565. ]  
12 	52    	[-1499.235   106.01 ]  	[3571.03557855  176.37576336]	[-10000.     32.]	[  0.9 568. ]  
13 	65    	[-2399.316   151.25 ]  	[4271.21567563  212.53961395]	[-10000.     32.]	[  0.9 586. ]  
14 	71    	[-2899.361   174.7  ]  	[4538.02890766  223.57336603]	[-10000.     32.]	[  0.9 579. ]  
15 	62    	[-2399.316   152.44 ]  	[4271.21567563  214.58999604]	[-10000.     32.]	[  0.9 581. ]  
16 	49    	[-1799.262   122.73 ]  	[3842.22031117  193.82640971]	[-10000.     32.]	[  0.9 562. ]  
17 	64    	[-2099.289   137.2  ]  	[4073.4489483   204.22125257]	[-10000.     32.]	[  0.9 557. ]  
18 	60    	[-1399.226   102.62 ]  	[3470.18260291  175.23234747]	[-10000.     32.]	[  0.9 584. ]  
19 	67    	[-1499.235   105.42 ]  	[3571.03557855  174.97212235]	[-10000.     32.]	[  0.9 580. ]  
20 	68    	[-1599.244   111.77 ]  	[3666.39050141  182.99660407]	[-10000.     32.]	[  0.9 568. ]  
21 	57    	[-1799.262   122.3  ]  	[3842.22031117  192.88175134]	[-10000.     32.]	[  0.9 567. ]  
