Max features: 100 N população 100 N geração 1000
Selecting features with genetic algorithm.
gen	nevals	avg              	std                      	min        	max          
0  	100   	[ 0.7066 48.56  ]	[ 0.08644328 29.96909074]	[0.48 1.  ]	[ 0.85 96.  ]
1  	55    	[-1599.3344   145.5   ]	[3666.35104779  182.32994817]	[-10000.     18.]	[  0.88 603.  ]
2  	55    	[-2199.3575   178.63  ]	[4142.80425765  205.89685063]	[-10000.     32.]	[  0.88 618.  ]
3  	73    	[-2499.3716   190.96  ]	[4330.48982591  214.65935433]	[-10000.     33.]	[  0.88 602.  ]
4  	54    	[-1699.2863   148.9   ]	[3756.6509932   183.42510733]	[-10000.     33.]	[  0.89 612.  ]
5  	57    	[-1899.2965   152.19  ]	[3923.34976984  193.85787036]	[-10000.     33.]	[  0.93 604.  ]
6  	54    	[-1299.2398   120.56  ]	[3363.32820391  165.69679055]	[-10000.     36.]	[  0.93 585.  ]
7  	55    	[-2599.3389   184.92  ]	[4386.73430631  219.41534495]	[-10000.     38.]	[  0.93 601.  ]
8  	55    	[-1699.24   130.23]    	[3756.67194717  185.23945881]	[-10000.     38.]	[  0.93 581.  ]
9  	48    	[-999.1645   92.29  ]  	[3000.27850001  146.57573435]	[-10000.     38.]	[  0.93 551.  ]
10 	62    	[-2399.2932   163.36  ]	[4271.22848812  214.60067661]	[-10000.     42.]	[  0.93 577.  ]
11 	52    	[-1799.2374   133.86  ]	[3842.23183679  195.55147762]	[-10000.     41.]	[  0.93 593.  ]
12 	57    	[-2099.2653   145.07  ]	[4073.46116754  200.32724503]	[-10000.     41.]	[  0.93 574.  ]
13 	62    	[-2099.2653   146.72  ]	[4073.46116754  204.22042405]	[-10000.     41.]	[  0.93 601.  ]
14 	60    	[-1899.2467   137.04  ]	[3923.37388903  198.36496263]	[-10000.     41.]	[  0.93 602.  ]
15 	66    	[-1799.2375   130.02  ]	[3842.23178994  190.17197375]	[-10000.     40.]	[  0.93 586.  ]
16 	69    	[-2299.2842   158.52  ]	[4208.71629277  217.95143863]	[-10000.     41.]	[9.30e-01 9.49e+02]
17 	56    	[-2099.2653   144.85  ]	[4073.46116754  201.60478045]	[-10000.     41.]	[  0.93 590.  ]    
18 	67    	[-2599.3118   170.51  ]	[4386.75036974  218.99472574]	[-10000.     41.]	[  0.93 589.  ]    
19 	54    	[-1699.2281   126.41  ]	[3756.6773327   188.87626082]	[-10000.     41.]	[  0.93 579.  ]    
20 	54    	[-1999.256   141.53 ]  	[4000.372       201.31877483]	[-10000.     41.]	[  0.93 591.  ]    
21 	62    	[-2099.2653   145.5   ]	[4073.46116754  202.98992586]	[-10000.     41.]	[  0.93 577.  ]    
22 	63    	[-1699.2281   125.12  ]	[3756.6773327   185.99033738]	[-10000.     41.]	[  0.93 570.  ]    
23 	69    	[-2799.3304   180.32  ]	[4490.40643309  223.7313961 ]	[-10000.     41.]	[  0.93 589.  ]    
24 	52    	[-2099.2653   145.2   ]	[4073.46116754  202.32543093]	[-10000.     41.]	[  0.93 579.  ]    
25 	59    	[-1399.2002   109.44  ]	[3470.19301252  169.74512187]	[-10000.     41.]	[  0.93 557.  ]    
26 	60    	[-2199.2746   148.89  ]	[4142.8482845   203.39847074]	[-10000.     41.]	[  0.93 561.  ]    
27 	64    	[-2299.2839   156.15  ]	[4208.71645673  210.89994666]	[-10000.     41.]	[  0.93 576.  ]    
28 	55    	[-1599.2188   121.88  ]	[3666.4014996   185.52726376]	[-10000.     41.]	[  0.93 587.  ]    
29 	57    	[-1999.256   140.56 ]  	[4000.372       199.37985455]	[-10000.     41.]	[  0.93 572.  ]    
30 	69    	[-1799.2374   130.65  ]	[3842.23183679  191.57392176]	[-10000.     41.]	[  0.93 579.  ]    
31 	54    	[-1899.2467   135.37  ]	[3923.37388903  195.00993077]	[-10000.     41.]	[  0.93 561.  ]    
32 	68    	[-1299.1909   104.43  ]	[3363.34710635  164.2823335 ]	[-10000.     41.]	[  0.93 560.  ]    
33 	67    	[-1199.1816    99.61  ]	[3249.91757608  158.78393464]	[-10000.     41.]	[  0.93 551.  ]    
34 	53    	[-2399.2932   158.05  ]	[4271.22848812  208.46622628]	[-10000.     41.]	[  0.93 564.  ]    
35 	61    	[-1599.2188   119.36  ]	[3666.4014996   179.65675718]	[-10000.     41.]	[  0.93 565.  ]    
36 	64    	[-2499.3025   165.65  ]	[4330.52972073  216.27831029]	[-10000.     41.]	[  0.93 577.  ]    
37 	60    	[-1599.2188   118.66  ]	[3666.4014996   178.15028599]	[-10000.     41.]	[  0.93 557.  ]    
38 	60    	[-2199.2746   151.89  ]	[4142.8482845   209.19846534]	[-10000.     41.]	[  0.93 605.  ]    
