max_features,n_population,n_generations,accuracy,precision,recall
100,100,1000,0.73,0.7297297297297297,0.6136363636363636
100,200,500,0.7,0.6590909090909091,0.6590909090909091
100,500,200,0.76,0.7083333333333334,0.7727272727272727
100,1000,100,0.85,0.7843137254901961,0.9090909090909091
100,200,50,0.85,0.8222222222222222,0.8409090909090909
100,100,100,0.75,0.6862745098039216,0.7954545454545454
100,50,200,0.78,0.7291666666666666,0.7954545454545454
100,10,100,0.75,0.7435897435897436,0.6590909090909091
100,20,50,0.73,0.7297297297297297,0.6136363636363636
100,50,20,0.82,0.8095238095238095,0.7727272727272727
100,100,10,0.74,0.725,0.6590909090909091
500,100,1000,0.83,0.7368421052631579,0.9545454545454546
500,200,500,0.89,0.9714285714285714,0.7727272727272727
500,500,200,0.84,0.8043478260869565,0.8409090909090909
500,1000,100,0.78,0.775,0.7045454545454546
500,200,50,0.79,0.7804878048780488,0.7272727272727273
500,100,100,0.82,0.7708333333333334,0.8409090909090909
500,50,200,0.81,0.8048780487804879,0.75
500,10,100,0.87,0.8444444444444444,0.8636363636363636
500,20,50,0.82,0.825,0.75
500,50,20,0.83,0.813953488372093,0.7954545454545454
500,100,10,0.82,0.8095238095238095,0.7727272727272727
1000,100,1000,0.85,0.8085106382978723,0.8636363636363636
1000,200,500,0.82,0.8611111111111112,0.7045454545454546
1000,500,200,0.81,0.8205128205128205,0.7272727272727273
1000,1000,100,0.79,0.7804878048780488,0.7272727272727273
1000,200,50,0.81,0.8048780487804879,0.75
1000,100,100,0.83,0.7872340425531915,0.8409090909090909
1000,50,200,0.82,0.8095238095238095,0.7727272727272727
1000,10,100,0.84,0.8043478260869565,0.8409090909090909
1000,20,50,0.87,0.8604651162790697,0.8409090909090909
1000,50,20,0.85,0.8536585365853658,0.7954545454545454
1000,100,10,0.74,0.7368421052631579,0.6363636363636364
2000,100,1000,0.86,0.8571428571428571,0.8181818181818182
2000,200,500,0.87,0.8604651162790697,0.8409090909090909
2000,500,200,0.86,0.8571428571428571,0.8181818181818182
2000,1000,100,0.85,0.9142857142857143,0.7272727272727273
2000,200,50,0.86,0.8260869565217391,0.8636363636363636
2000,100,100,0.86,0.8571428571428571,0.8181818181818182
2000,50,200,0.88,0.8809523809523809,0.8409090909090909
2000,10,100,0.87,0.8444444444444444,0.8636363636363636
2000,20,50,0.85,0.8222222222222222,0.8409090909090909
2000,50,20,0.87,0.8297872340425532,0.8863636363636364
