Max features: 100 N população 100 N geração 1000
Selecting features with genetic algorithm.
gen	nevals	avg              	std                      	min        	max            
0  	100   	[ 0.7144 49.58  ]	[ 0.07605682 29.34661139]	[0.53 4.  ]	[  0.85 100.  ]
1  	58    	[-1999.3699   164.03  ]	[4000.31505011  197.06453029]	[-10000.     16.]	[  0.85 605.  ]
2  	51    	[-1599.3219   149.58  ]	[3666.35650316  181.76480297]	[-10000.     16.]	[  0.87 619.  ]
3  	64    	[-1599.3073   152.44  ]	[3666.36287514  185.15087469]	[-10000.     16.]	[  0.88 614.  ]
4  	54    	[-2099.3339   179.35  ]	[4073.42579885  204.46375596]	[-10000.     26.]	[  0.88 633.  ]
5  	51    	[-1799.3002   157.74  ]	[3842.20241376  190.34897531]	[-10000.     26.]	[  0.88 616.  ]
6  	52    	[-1999.3105   157.36  ]	[4000.34475007  199.05589768]	[-10000.     26.]	[  0.89 600.  ]
7  	54    	[-2099.3098   147.81  ]	[4073.43822427  200.30500218]	[-10000.     37.]	[  0.89 585.  ]
8  	66    	[-1999.2965   136.86  ]	[4000.35175001  194.49581075]	[-10000.     37.]	[  0.89 576.  ]
9  	58    	[-1199.2227    99.97  ]	[3249.90239892  160.46790676]	[-10000.     38.]	[  0.89 580.  ]
10 	57    	[-1899.2803   134.98  ]	[3923.35761581  194.21946246]	[-10000.     39.]	[  0.9 580. ]  
11 	58    	[-1899.2799   134.48  ]	[3923.35780954  195.15555232]	[-10000.     38.]	[  0.9 567. ]  
12 	53    	[-1799.2698   127.63  ]	[3842.21665671  186.4371559 ]	[-10000.     38.]	[  0.91 566.  ]
13 	56    	[-2099.2954   145.38  ]	[4073.4456486   200.99556115]	[-10000.     37.]	[  0.91 563.  ]
14 	52    	[-1699.2516   126.77  ]	[3756.66669733  183.46922657]	[-10000.     35.]	[  0.94 574.  ]
15 	53    	[-2699.3363   176.64  ]	[4439.9982143   219.37121598]	[-10000.     40.]	[  0.94 582.  ]
16 	55    	[-1499.2211   117.94  ]	[3571.04141773  179.09113993]	[-10000.     40.]	[  0.94 576.  ]
17 	42    	[-1799.2394   131.19  ]	[3842.23089977  188.49337893]	[-10000.     40.]	[  0.94 557.  ]
18 	54    	[-1899.2395   138.88  ]	[3923.37737615  195.66539193]	[-10000.     40.]	[  0.94 576.  ]
19 	49    	[-1199.1728   105.91  ]	[3249.9208257   167.51615415]	[-10000.     44.]	[  0.94 604.  ]
20 	69    	[-2599.3044   171.27  ]	[4386.75475608  214.8574809 ]	[-10000.     44.]	[  0.94 565.  ]
21 	61    	[-2099.2574   147.61  ]	[4073.46524063  201.1012628 ]	[-10000.     44.]	[  0.94 563.  ]
22 	55    	[-2099.2574   148.43  ]	[4073.46524063  202.75266977]	[-10000.     44.]	[  0.94 574.  ]
23 	66    	[-2199.2668   153.12  ]	[4142.85242697  205.60696875]	[-10000.     44.]	[  0.94 570.  ]
24 	64    	[-2199.2668   153.6   ]	[4142.85242697  206.65822026]	[-10000.     44.]	[  0.94 578.  ]
25 	65    	[-1699.2198   126.49  ]	[3756.68108903  182.35084288]	[-10000.     44.]	[  0.94 550.  ]
26 	51    	[-1399.1916   111.63  ]	[3470.19648239  167.75027004]	[-10000.     44.]	[  0.94 555.  ]
